class,color
Control - CONTR - ADENOPIT,#c9cbcc
Control - CONTR - CEBM,#b4b6b9
Control - CONTR - HEMI,#8e8f93
Control - CONTR - HYPTHAL,#7a7e80
Control - CONTR - INFLAM,#d3d3d3
Control - CONTR - PINEAL,#68696b
Control - CONTR - PONS,#535456
Control - CONTR - REACT,#ceced0
Control - CONTR - WM,#9fa1a4
Embryonal - ATRT - MYC,#4473b1
Embryonal - ATRT - SHH,#5d95cf
Embryonal - ATRT - TYR,#73a2d7
Embryonal - CNS NB - FOXR2,#6488c6
Embryonal - ETMR - ETMR,#5992ce
Embryonal - HGNET - BCOR,#7695c6
Embryonal - MB G3G4 - G3,#4c82c0
Embryonal - MB G3G4 - G4,#9cb8e1
Embryonal - MB SHH - CHL AD INF,#567fbf
Embryonal - MB WNT - WNT,#779fd4
Ependymal - EPN - MPE,#9e2543
Ependymal - EPN - PF A,#c62655
Ependymal - EPN - PF B,#c9465d
Ependymal - EPN - RELA,#c15958
Ependymal - EPN - SPINE,#ce335c
Ependymal - EPN - YAP,#d36073
Ependymal - SUBEPN - ALL,#a05c2f
Glio-neuronal - CN - CN,#ba7548
Glio-neuronal - DLGNT - DLGNT,#91522c
Glio-neuronal - ENB - A,#db814e
Glio-neuronal - ENB - B,#b5592f
Glio-neuronal - LGG - DIG/DIA,#b35c33
Glio-neuronal - LGG - DNT,#d27448
Glio-neuronal - LGG - GG,#df8f52
Glio-neuronal - LGG - RGNT,#c67c41
Glio-neuronal - LIPN - LIPN,#dc8139
Glio-neuronal - PGG - nC,#e19262
Glio-neuronal - RETB - RETB,#abcf8c
Glioblastoma - DMG - K27,#7eba6d
Glioblastoma - GBM - G34,#69874b
Glioblastoma - GBM - MES,#538043
Glioblastoma - GBM - MID,#85bb5c
Glioblastoma - GBM - MYCN,#87bd59
Glioblastoma - GBM - RTK I,#9ac474
Glioblastoma - GBM - RTK II,#94c054
Glioblastoma - GBM - RTK III,#dabb3b
Glioma IDH - A IDH - A IDH,#d1c946
Glioma IDH - A IDH - HG,#f4e357
Glioma IDH - O IDH - O IDH,#381b4a
Haematopoeitic - LYMPHO - LYMPHO,#5a396b
Haematopoeitic - PLASMA - PLASMA,#33496c
Melanocytic - MELAN - MELAN,#232d4a
Melanocytic - MELCYT - MELCYT,#b88dbc
Mesenchymal - CHORDM - CHORDM,#8560a5
Mesenchymal - EFT - CIC,#9571ae
Mesenchymal - EWS - EWS,#a06fad
Mesenchymal - HMB - HMB,#9f6fad
Mesenchymal - MNG - MNG,#b17bb2
Mesenchymal - SFT HMPC - SFT HMPC,#f5d9ad
Nerve - SCHW - SCHW,#ecc58a
Nerve - SCHW - SCHW MEL,#6555a2
Other glioma - ANA PA - ANA PA,#8f7cb7
Other glioma - CHGL - CHGL,#998dc0
Other glioma - HGNET - MN1,#bfb0d1
Other glioma - IHG - IHG,#7262a8
Other glioma - LGG MYB - MYB,#9a88bb
Other glioma - LGG PA - PA,#8673b2
Other glioma - LGG PA - PA/GG ST,#6e5798
Other glioma - LGG SEGA - SEGA,#8472b1
Other glioma - PXA - PXA,#6454a1
Pineal - PIN T - PB A,#c7e0ab
Pineal - PIN T - PB B,#b5d299
Pineal - PIN T - PPT,#b7d397
Pineal - PTPR - A,#b1d195
Pineal - PTPR - B,#c1d998
Plexus - PLEX - AD,#664522
Plexus - PLEX - PED A,#875a31
Plexus - PLEX - PED B,#624530
Sella - CPH - ADM,#90c7c1
Sella - CPH - PAP,#81c3ca
Sella - PITAD ACTH - ACTH,#50807b
Sella - PITAD FSH LH - FSH LH,#6ba69d
Sella - PITAD PRL - PRL,#68b7af
Sella - PITAD STH - STH DNS A,#78beb8
Sella - PITAD STH - STH DNS B,#6fbdc0
Sella - PITAD STH - STH SPA,#7dc1b7
Sella - PITAD TSH - TSH,#77beb7
Sella-PITUISCOGCT-SCOGCT,#86c8ce
Otherglioma-LGGPA-PA,#9a88bb
Ependymal-SUBEPN-ALL,#d04f53
unclear,#BABABA
other_family,#CA0020
UNCLEAR,#000000
A_IDH_LG,#ffd700
A_IDH_HG,#daa520
O_IDH,#8b6914
GBM_RTK1,#7fff00
GBM_RTK2,#7fff00
GBM_MES,#66ff00
GBM_CBM,#458b00
DMG_K27,#228b22
DHG_G34,#c0ff3e
HGG_PED,#b3ee3e
HGG_PED_MYCN,#9acd32
HGAP,#698b22
IHG,#90ee90
DG_MYB,#473c8b
PLNTY,#6959cd
PA,#800080
PXA,#9b30ff
SEGA,#836fff
CH_GL,#7a67ee
HGNET,#6959cd
GG,#b22222
DIG_DIA,#ff3030
DNT,#ee2c2c
DLGNT,#cd2626
CN,#8b1a1a
EVNCYT,#ff7256
LIPN,#ee6a50
EPN_YAP,#ff0000
EPN_ST_ZFTA,#ff0000
EPN_PFA,#ee2c2c
EPN_PFB,#cd2626
EPN_SPINE,#8b1a1a
EPN_SPINE_MYCN,#ff4500
EPN_MPE,#ff4500
SUBEPN,#8b475d
CPP,#20b2aa
CPC,#87cefa
MB_WNT,#1e90ff
MB_SHH,#1e90ff
MB_G3,#1c86ee
MB_G4,#1874cd
ATRT_MYC,#00bfff
ATRT_SHH,#00bfff
ATRT_TYR,#00b2ee
ETMR,#009acd
CNS_NB_FOXR2,#ff8247
CNS_BCOR,#ee7942
PINCYT,#ffa54f
PPTID,#ee9a49
PB,#cd853f
PTPR,#8b5a2b
SCHWN,#db7093
NFIB_PLEX,#ff82ab
MPNST,#ee799f
CAUDEQU_NET,#cd6889
MNG_BEN,#bf3eff
MNG_INT,#b23aee
MNG_MAL,#9a32cd
MNG_SMARCE1,#9400d3
SFT_HMPC,#4682b4
HMB,#63b8ff
RMS,#5cacee
